pathogen,screen,compound_id,inchikey,compound_name,smiles,evidence_level,is_hit_real,inhib_ave,px_real,in_dti_test_split,seen_in_training,source_pathogen,source_px,notes,pred_pmic,bucket
Acinetobacter baumannii,B_transferencia_entre_patogenos,CHEMBL850,DZZWHBIBMUVIIW-DTORHVGOSA-N,SPARFLOXACIN,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,sin_medida,False,,,True,False,Klebsiella pneumoniae,6.8947656349095325,,6.093,hipotesis_transferencia
Acinetobacter baumannii,B_transferencia_entre_patogenos,CHEMBL132468,LTDOHCZUKCZDEQ-BJOHPYRUSA-N,CETEFLOXACIN,C[C@H]1[C@H](N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2-c1ccc(F)cc1F,sin_medida,False,,,False,False,Klebsiella pneumoniae,7.42960156927669,,6.0699,hipotesis_transferencia
Acinetobacter baumannii,B_transferencia_entre_patogenos,CHEMBL16727,AUUKUAHPMHVZJL-NSHDSACASA-N,ABT-719,Cc1c(N2CC[C@H](N)C2)c(F)cn2c(=O)c(C(=O)O)cc(C3CC3)c12,sin_medida,False,,,False,False,Klebsiella pneumoniae,7.839319636128946,,6.0605,hipotesis_transferencia
Acinetobacter baumannii,B_transferencia_entre_patogenos,CHEMBL583,AIJTTZAVMXIJGM-UHFFFAOYSA-N,GREPAFLOXACIN,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,sin_medida,False,,,False,False,Klebsiella pneumoniae,6.856609276822796,,5.8776,hipotesis_transferencia
Acinetobacter baumannii,B_transferencia_entre_patogenos,CHEMBL6210,WDBGUJBLPRXPIX-UHFFFAOYSA-N,PD-117558,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,sin_medida,False,,,False,False,Klebsiella pneumoniae,6.893670789190679,,5.8318,hipotesis_transferencia
Acinetobacter baumannii,B_transferencia_entre_patogenos,CHEMBL6259,NOCJXYPHIIZEHN-UHFFFAOYSA-N,DIFLOXACIN,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,sin_medida,False,,,False,False,Klebsiella pneumoniae,6.601404798420665,,5.8245,hipotesis_transferencia
Acinetobacter baumannii,B_transferencia_entre_patogenos,CHEMBL49282,QKDHBVNJCZBTMR-LLVKDONJSA-N,(S)-TEMAFLOXACIN,C[C@@H]1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,sin_medida,False,,,False,False,Klebsiella pneumoniae,6.620538918337037,,5.8205,hipotesis_transferencia
Acinetobacter baumannii,B_transferencia_entre_patogenos,CHEMBL6209,BAYYCLWCHFVRLV-UHFFFAOYSA-N,MERAFLOXACIN,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CC)c3c2F)C1,sin_medida,False,,,False,False,Klebsiella pneumoniae,6.278075343628064,,5.8157,hipotesis_transferencia
Acinetobacter baumannii,B_transferencia_entre_patogenos,CHEMBL1689772,JEECQCWWSTZDCK-IQZGDKDPSA-N,OMADACYCLINE,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,sin_medida,False,,,False,False,Klebsiella pneumoniae,5.444560019601275,,5.7915,hipotesis_transferencia
Acinetobacter baumannii,B_transferencia_entre_patogenos,CHEMBL420937,GSDSWSVVBLHKDQ-SNVBAGLBSA-N,DEXTROFLOXACINE,C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,sin_medida,False,,,False,False,Klebsiella pneumoniae,5.475170330788782,,5.7663,hipotesis_transferencia
