pathogen,screen,compound_id,inchikey,compound_name,smiles,evidence_level,is_hit_real,inhib_ave,px_real,in_dti_test_split,seen_in_training,source_pathogen,source_px,notes,pred_pmic,bucket
Klebsiella pneumoniae,B_transferencia_entre_patogenos,CHEMBL1908370,FYMHQCNFKNMJAV-HOTGVXAUSA-N,FINAFLOXACIN,N#Cc1c(N2C[C@@H]3NCCO[C@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,sin_medida,False,,,False,False,Acinetobacter baumannii,7.1231915344032,,6.0546,hipotesis_transferencia
Klebsiella pneumoniae,B_transferencia_entre_patogenos,CHEMBL1652593,YFIDUXBOSUDJCL-NHWMLPAGSA-N,COLISTIN METHYLSULPHATE,CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O.CS(=O)(=O)O,sin_medida,False,,,False,False,Acinetobacter baumannii,5.806049666092155,,5.6462,hipotesis_transferencia
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164673,JNTOCHDNEULJHD-UHFFFAOYSA-N,Penciclovir,Nc1nc(O)c2ncn(CCC(CO)CO)c2n1,solo_cribado,False,17.55,,False,False,,,,5.5317,desacuerdo_modelo_experimento
Klebsiella pneumoniae,B_transferencia_entre_patogenos,CHEMBL4298137,BISPBXFUKNXOQY-RITPCOANSA-N,DURLOBACTAM,CC1=C[C@@H]2CN(C(=O)N2OS(=O)(=O)O)[C@@H]1C(N)=O,sin_medida,False,,,False,False,Acinetobacter baumannii,6.164130485178487,,5.3618,hipotesis_transferencia
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0165025,MKUXAQIIEYXACX-UHFFFAOYSA-N,Acyclovir,Nc1nc(O)c2ncn(COCCO)c2n1,solo_cribado,False,6.29,,False,False,,,,5.3501,desacuerdo_modelo_experimento
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164842,IRSCQMHQWWYFCW-UHFFFAOYSA-N,Ganciclovir,Nc1nc(O)c2ncn(COC(CO)CO)c2n1,solo_cribado,False,11.05,,False,False,,,,5.3484,desacuerdo_modelo_experimento
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164883,KTYRLAUBOMIPDT-UHFFFAOYSA-N,"L-694,247",CS(=O)(=O)Nc1ccc(Cc2noc(n2)-c2ccc3[nH]cc(CCN)c3c2)cc1.O.O,solo_cribado,False,11.61,,False,False,,,,5.288,desacuerdo_modelo_experimento
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164375,RMRYVILDUDPDHN-LVFHOJSVSA-N,GR 79236,OC[C@H]1O[C@H]([C@@H](O)C1O)n1cnc2c(N[C@H]3CCC[C@@H]3O)ncnc12.O.Cl,solo_cribado,False,8.61,,False,False,,,,5.2848,desacuerdo_modelo_experimento
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164429,KLOHDWPABZXLGI-UHFFFAOYSA-M,Ampicillin sodium,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C([O-])=O.[Na+],mic_confirmado,False,8.65,,False,True,,,,5.2207,desacuerdo_modelo_experimento
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164438,GBBSUAFBMRNDJC-INIZCTEOSA-N,Eszopiclone,CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)c2nccnc12)c1ccc(Cl)cn1,solo_cribado,False,-5.59,,False,False,,,,5.209,desacuerdo_modelo_experimento
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164454,AZZMGZXNTDTSME-UHFFFAOYSA-M,Cefotaxime sodium,CON=C(C(=O)NC1C2SCC(COC(C)=O)=C(N2C1=O)C([O-])=O)c1csc(N)n1.[Na+],mic_confirmado,False,94.76,,True,False,,,,5.2079,desacuerdo_modelo_experimento
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164408,AYAPZOUDXCDGIF-FRFVDRIFSA-M,Nafcillin sodium,CCOc1ccc2ccccc2c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C([O-])=O.[Na+],mic_confirmado,False,6.51,,False,True,,,,5.0908,desacuerdo_modelo_experimento
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164562,GUXHBMASAHGULD-UHFFFAOYSA-N,Demeclocycline,CN(C)C1C2CC3C(O)c4c(Cl)ccc(O)c4C(O)=C3C(=O)C2(O)C(O)=C(C(N)=O)C1=O,mic_confirmado,False,83.73,,True,False,,,,5.0646,desacuerdo_modelo_experimento
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164556,KBXPPBVZVGWZSS-HJXOARFJSA-N,CCPA,OC[C@H]1O[C@H]([C@@H](O)C1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12.O,solo_cribado,False,3.81,,False,False,,,,5.0308,desacuerdo_modelo_experimento
